Webflow_ID,Webflow_Slug,Service_Name,Bookla_ServiceID,Duration_Minutes,Price_EUR,Category_Slug,Bookla_CategoryID,Resource_Slug,Bookla_ResourceID,Capacity_Spots,Visible,Option_Extra_Slug,Option_Extra_Price,Option_Extra_Duration,Bookla_UpdatedAt,Notes_Internal,Service_Type,Service_Type_ID
690a3225f85fabf95b516136,cornrows-braided-baldie,"Cornrows braided baldie",eb9f9a2c-460c-4277-bbd9-9ba2ecd9d3dc,150,100,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a32269fcdfea0ef31d584,cornrows-braided-baldie,"Cornrows braided baldie",dab3c7c2-94c9-4172-b2d3-9707fd1bab63,150,100,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a3227ad3f919c6e409ced,flame,"Flame",5496a1ae-5d3d-43a2-8872-b9309bfa173b,120,70,,,,,1,TRUE,,0,0,,,Cornrows hommes,68d9066e330ca04c60550b93
690a322795749a54df00e563,flame,"Flame",624500e9-8dea-4134-a8cd-6bf85e64b01b,120,70,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3228086bf32e48e72f3f,flame,"Flame",28d206f0-39a2-49b1-be07-2151f09b6f96,120,70,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a322881e2cb83723ba2c5,flame,"Flame",26e2a69a-517f-4e64-8642-2f077b0ca575,120,70,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a32235d9914eb090890e5,french-curl-bob,"French curl Bob",2bcd27d6-f57e-4c75-af47-b027e1a0cb79,180,140,,,,,1,TRUE,,0,0,,,French curl,68d906594814d0df92c08692
690a32236cf03cae2799fb11,french-curl-bob,"French curl Bob",e576e622-7649-49ad-a46a-08ba39c2be9d,180,140,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32232ef736ea1b1b4b70,french-curl-bob,"French curl Bob",7d836089-2ad2-46fa-8d76-79d46fa89961,180,140,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3223a06ee4c058679ff3,french-curl-bob,"French curl Bob",7c8f97d6-521f-47b9-af0a-4706b8b25a1f,180,140,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
